"code","source_page","view","schematic_x","schematic_y","primary_source_description","learning_note_he","learning_note_en","comparison_code","alternative_he","focused_check","alignment_33","source_conflict_33","review_status","reviewer","review_date","review_notes"
"LU 11","31","handBack","180","454","On the thumb, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the thumb nail, at the intersection of the vertical line of the radial border and the horizontal line of the base of the thumb nail.","שתי הרשומות משתמשות בפינת הציפורן, אך באצבעות שונות: LU 11 באגודל ו־LI 1 באצבע המורה. מזהים קודם את האצבע, ורק אחר כך את צד הציפורן.","Both refer to a nail corner, but LU 11 uses the thumb and LI 1 the index finger. Identify the digit before identifying its nail side.","LI 1","","supplied dataset","נוסף מבט גבי עם ציפורן אגודל; הסימון סמוך לפינה הרדיאלית של בסיס הציפורן.","","ממתין לסקירה מקצועית","","",""
"LI 1","34","handBack","330","250","On the index finger, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the index fingernail, at the intersection of the vertical line of the radial border of the fingernail and the horizontal line of the base of the index fingernail.","שתי הרשומות משתמשות בפינת הציפורן, אך באצבעות שונות: LU 11 באגודל ו־LI 1 באצבע המורה. מזהים קודם את האצבע, ורק אחר כך את צד הציפורן.","Both refer to a nail corner, but LU 11 uses the thumb and LI 1 the index finger. Identify the digit before identifying its nail side.","LU 11","","supplied dataset","הסימון הוזז אל אזור הפינה הרדיאלית של בסיס ציפורן המורה.","","ממתין לסקירה מקצועית","","",""
"LI 2","34","handBack","320","402","On the index finger, in the depression distal to the radial side of the second metacarpophalangeal joint, at the border between the red and white flesh.","שתיהן בצד הרדיאלי של האצבע המורה. LI 2 דיסטלית למפרק המסרק־גליל השני, ואילו LI 3 פרוקסימלית לו. קו המפרק הוא ההבחנה המרכזית.","Both are on the radial index-finger side. LI 2 is distal to the second metacarpophalangeal joint; LI 3 is proximal. The joint separates the two descriptions.","LI 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 3","35","handBack","330","491","On the dorsum of the hand, in the depression radial and proximal to the second metacarpophalangeal joint.","שתיהן בצד הרדיאלי של האצבע המורה. LI 2 דיסטלית למפרק המסרק־גליל השני, ואילו LI 3 פרוקסימלית לו. קו המפרק הוא ההבחנה המרכזית.","Both are on the radial index-finger side. LI 2 is distal to the second metacarpophalangeal joint; LI 3 is proximal. The joint separates the two descriptions.","LI 2","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 4","35","handBack","350","620","On the dorsum of the hand, radial to the midpoint of the second metacarpal bone.","LU 10 מתוארת בצד הכפי, לצד אמצע עצם המסרק הראשונה; LI 4 נמצאת בגב כף היד בין עצמות המסרק הראשונה והשנייה. בחירת הצד הכפי או הגבי קודמת להשוואת הסימונים.","LU 10 lies on the palm, radial to the first-metacarpal midpoint; LI 4 is on the dorsum between the first two metacarpals. Establish the hand surface before comparing the markers.","LU 10","","MSK patient education comparison","הסימון הותאם לצד הרדיאלי של אמצע עצם המסרק השנייה.","","ממתין לסקירה מקצועית","","",""
"LI 5","36","handBack","390","835","On the posterolateral aspect of the wrist, at the radial side of the dorsal wrist crease, distal to the radial styloid process, in the depression of the anatomical snuffbox. Note : The depression of the anatomical snuffbox is formed when the thumb is fully abducted and extended between the tendons of the extensor pollicis longus and the extensor pollicis brevis.","שקע ההרחה האנטומי נמצא בצד האגודל בגב שורש כף היד, מעבר לזיז החישור לכיוון האצבעות. LU 9 קשורה לצד הכפי; שתיהן רדיאליות, אך אינן באותו מבט.","The anatomical snuffbox is on the thumb side of the dorsal wrist, distal to the radial styloid. LU 9 is palmar: sharing the radial side does not mean sharing the surface.","LU 9","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 6","36","armBack","380","773","On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 3 B- cun superior to the dorsal wrist crease. Note: LI6 is located at the junction of the upper three fourths and the lower one fourth of the line connecting LI5 with LI11.","הקו בין LI 5 ל־LI 11 משותף לכמה נקודות. כאן המרחק הוא 3 B-cun מעל קפל שורש כף היד הגבי; ב־LI 7 המרחק הוא 5 B-cun.","Several points share the LI 5–LI 11 line. Here the level is 3 B-cun above the dorsal wrist crease; LI 7 uses 5 B-cun.","LI 7","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 7","37","armBack","385","701","On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 5 B- cun superior to the dorsal wrist crease.","הבחינו בין גובה הנקודה לבין קו הייחוס שלה: LI 7 נמצאת על קו LI 5–LI 11, במרחק 5 B-cun מעל קפל שורש כף היד הגבי.","Separate reference line from level: LI 7 uses the LI 5–LI 11 line, 5 B-cun above the dorsal wrist crease.","LI 6","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 8","37","armBack","380","593","On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 4 B- cun inferior to the cubital crease. Note: LI8 is located at the junction of the upper one third and lower two thirds of the line connecting LI5 with LI11, 1 B-cun inferior to LI9.","כאן מתחילים את קריאת המרחק מקפל המרפק: 4 B-cun לכיוון שורש כף היד. LI 9 נמצאת קרוב יותר למרפק, במרחק 3 B-cun ממנו.","Read the distance from the elbow crease: 4 B-cun toward the wrist. LI 9 is nearer the elbow, 3 B-cun from that crease.","LI 9","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 9","38","armBack","370","557","On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 3 B- cun inferior to the cubital crease.","נקודת המוצא היא קפל המרפק, והכיוון הוא מטה לאורך האמה. המרחק המתואר הוא 3 B-cun; קו הייחוס מחבר את LI 5 עם LI 11.","The reference is the elbow crease and the direction is distally along the forearm. The stated distance is 3 B-cun on the LI 5–LI 11 line.","LI 10","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 10","38","armBack","360","522","On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 2 B- cun inferior to the cubital crease.","LI 11 קשורה לקצה הצדדי של קפל המרפק. LI 10 נמצאת באמה, 2 B-cun דיסטלית ל־LI 11. מתחילים בזיהוי המרפק לפני שמפרשים את המרחק.","LI 11 uses the lateral elbow-crease region. LI 10 is on the forearm, 2 B-cun distal to LI 11. Establish the elbow reference before interpreting the distance.","LI 11","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 11","39","armBack","350","450","On the lateral aspect of the elbow, at the midpoint of the line connecting LU5 with the lateral epicondyle of the humerus. Note: When the elbow is fully flexed, LI11 is located in the depression on the lateral end of the cubital crease.","LI 11 קשורה לקצה הצדדי של קפל המרפק. LI 10 נמצאת באמה, 2 B-cun דיסטלית ל־LI 11. מתחילים בזיהוי המרפק לפני שמפרשים את המרחק.","LI 11 uses the lateral elbow-crease region. LI 10 is on the forearm, 2 B-cun distal to LI 11. Establish the elbow reference before interpreting the distance.","LI 10","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 12","39","armBack","345","420","On the posterolateral aspect of the elbow, superior to the lateral epicondyle of the humerus, anterior to the lateral supraepicondylar ridge.","כאן העוגן הוא העילית העלי הצדדית של עצם הזרוע והשלוחה שמעליה. המיקום מתואר מעל העילית ולפני הרכס שמעליה; אין להסתפק בקפל המרפק המשמש להשוואה עם LI 11.","Use the lateral humeral epicondyle and the ridge above it. The location is superior to the epicondyle and anterior to the ridge; the LI 11 elbow-crease reference alone is insufficient.","LI 11","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 13","40","armBack","370","355","On the lateral aspect of the arm, on the line connecting LI11 with LI15, 3 B-cun supe- rior to the cubital crease.","LI 13 שייכת לזרוע, מעל המרפק: 3 B-cun מעל קפל המרפק על הקו שבין LI 11 ל־LI 15. ההבחנה זרוע/אמה חשובה לפני השוואת המרחקים.","LI 13 is on the arm above the elbow: 3 B-cun above the crease on the LI 11–LI 15 line. Establish arm versus forearm before comparing distances.","LI 11","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 14","40","armBack","385","228","On the lateral aspect of the arm, just anterior to the border of the deltoid muscle, 7 B-cun superior to LI11.","LI 14 קשורה לגבול הקדמי של שריר הדלתא, 7 B-cun מעל LI 11. LI 15 קשורה לשקע שליד שיא הכתף. גבול שריר ושקע ליד עצם הם שני עוגנים שונים.","LI 14 uses the anterior deltoid border, 7 B-cun above LI 11. LI 15 uses a depression by the acromion. Distinguish a muscle border from a depression beside bone.","LI 15","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 15","41","armBack","410","105","On the shoulder girdle, in the depression between the anterior end of lateral border of the acromion and the greater tubercle of the humerus. Note: When the arm is abducted, two depressions appear, anterior and posterior to the acromion. LI15 is located in the deeper depression anterior to the acromion. tE14 is located in the posterior depression.","שתי הנקודות קשורות לכתף ולזיז שיא הכתף. LI 15 מתוארת בשקע הקדמי־תחתון ביחס אליו, ו־TE 14 בשקע האחורי־תחתון. מבט קדמי בלבד עלול להסתיר את ההבדל.","Both concern the shoulder and acromion. LI 15 uses the anteroinferior depression and TE 14 the posteroinferior depression. An anterior view alone obscures the distinction.","TE 14","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 16","41","armBack","430","80","On the shoulder girdle, in the depression between the acromial end of the clavicle and the spine of the scapula. Note: In the depression between the two bones lateral to the suprascapular fossa.","LI 16 נמצאת בשקע שבין הקצה הצדדי של עצם הבריח לקוץ השכמה. SI 12 קשורה לגומה שמעל קוץ השכמה. זיהוי שתי העצמות מונע בלבול בין השקע לגומה הרחבה.","LI 16 uses the depression between the acromial clavicular end and the scapular spine. SI 12 uses the supraspinous fossa. Identify the two bones before confusing the depression with the broader fossa.","SI 12","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 17","42","face","380","830","On the anterior aspect of the neck, at the same level as the cricoid cartilage, just posterior to the border of the sternocleido- mastoid muscle. Note: Directly inferior to LI18, at the same level as St10.","סחוס הטבעת קובע את הגובה. היחס לשריר מפנה הראש מבדיל בין הרשומות: LI 17 מאחורי גבולו, ו־ST 10 לפניו.","The cricoid cartilage sets the level. The sternocleidomastoid relationship distinguishes the records: LI 17 is just posterior to its border, ST 10 just anterior.","ST 10","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 18","42","face","380","780","On the anterior aspect of the neck, at the same level as the superior border of the thyroid cartilage, between the anterior and posterior borders of the sternocleidomastoid muscle.","הגובה הוא הגבול העליון של סחוס התריס. במפלס זה LI 18 מתוארת בין הגבול הקדמי לאחורי של שריר מפנה הראש, ולא לפני השריר.","The level is the superior thyroid-cartilage border. LI 18 lies between the anterior and posterior sternocleidomastoid borders rather than anterior to the muscle.","ST 9","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LI 19","43","face","468","592","On the face, at the same level as the midpoint of the philtrum, inferior to the lateral margin of the nostril. Note: 0.5 B-cun laterals to GV 26. Remarks: Alternative location for LI19 - On the face, at the same level as the junc- tion of the upper one third and lower two thirds of the philtrum, inferior to the lateral margin of the nostril.","GV 26 נמצאת בקו האמצע של הפילטרום, ו־LI 19 לצדו ומתחת לשוליים הצדדיים של הנחיר. לשתי הרשומות חלופה בגובה שונה; יש להשוות ראשי לראשי וחלופי לחלופי.","GV 26 is on the philtrum midline; LI 19 lies beside it below the lateral nostril margin. Both have an alternative vertical level: compare primary with primary and alternative with alternative.","GV 26","חלופה: גובה המפגש בין השליש העליון לשני השלישים התחתונים של הפילטרום, מתחת לשוליים הצדדיים של הנחיר.","focused WHO excerpt check (3.2)","","","ממתין לסקירה מקצועית","","",""
"LI 20","43","face","454","553","On the face, in the nasolabial sulcus, at the same level as the midpoint of lateral border of the ala of the nose. Remarks: Alternative location for LI20 - On the face, in the nasolabial sulcus, at the level of the inferior border of the ala of the nose.","LI 20 משתמשת בחריץ האף־שפתי ובכנף האף. ST 3 משתמשת בקו שמתחת לאישון ובגובה השוליים התחתונים של כנף האף. דמיון בגובה אינו זהות במיקום הצדדי.","LI 20 uses the nasolabial sulcus and nasal ala. ST 3 uses the line below the pupil and the inferior alar level. Similar height does not mean the same lateral position.","ST 3","חלופה: בחריץ האף־שפתי, בגובה השוליים התחתונים של כנף האף.","focused WHO excerpt check (3.2)","","","ממתין לסקירה מקצועית","","",""
"ST 1","46","face","400","445","On the face, between the eyeball and the infraorbital margin, directly inferior to the pupil.","ST 1 מתוארת בין גלגל העין לשוליים התחתונים של הארובה; ST 2 מתוארת בפתח התת־ארובתי שמתחתיהם. אלה שני ציוני דרך שונים סביב העין.","ST 1 refers to the interval between the eyeball and inferior orbital margin; ST 2 to the infraorbital foramen below it. These are distinct orbital landmarks.","ST 2","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 2","46","face","400","470","On the face, in the infraorbital foramen.","ST 1 מתוארת בין גלגל העין לשוליים התחתונים של הארובה; ST 2 מתוארת בפתח התת־ארובתי שמתחתיהם. אלה שני ציוני דרך שונים סביב העין.","ST 1 refers to the interval between the eyeball and inferior orbital margin; ST 2 to the infraorbital foramen below it. These are distinct orbital landmarks.","ST 1","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 3","47","face","400","568","On the face, directly inferior to the pupil, at the same level as the inferior border of the ala of the nose. Note: When looking straight ahead, ST3 is located at the intersection of the vertical line of the pupil and the horizontal line of the inferior border of the ala of the nose.","LI 20 משתמשת בחריץ האף־שפתי ובכנף האף. ST 3 משתמשת בקו שמתחת לאישון ובגובה השוליים התחתונים של כנף האף. דמיון בגובה אינו זהות במיקום הצדדי.","LI 20 uses the nasolabial sulcus and nasal ala. ST 3 uses the line below the pupil and the inferior alar level. Similar height does not mean the same lateral position.","LI 20","","supplied dataset","גובה הסימון הותאם לגבול התחתון של כנף האף.","","ממתין לסקירה מקצועית","","",""
"ST 4","47","face","410","625","On the face, 0.4 f-cun lateral to the angle of the mouth. Note: Lateral to the angle of the mouth, the point is located in the nasolabial sulcus or on the continuation of the nasolabial sulcus.","זווית הפה היא העוגן של ST 4, עם היסט צדדי של 0.4 F-cun. CV 24 נמצאת בקו האמצע מתחת לשפה התחתונה. פינת הפה וקפל השפה־סנטר אינם אותו מבנה.","ST 4 uses a 0.4 F-cun lateral offset from the mouth corner. CV 24 is midline below the lower lip. Distinguish the mouth angle from the mentolabial groove.","CV 24","","supplied dataset","הסימון הופרד מזווית הפה לצד הלטרלי.","","ממתין לסקירה מקצועית","","",""
"ST 5","48","face","340","655","On the face, anterior to the angle of the mandible, in the depression anterior to the masseter attachment, over the facial artery.","ST 5 מתוארת סמוך לשפת הלסת ולקצה הקדמי של שריר הלעיסה. ST 6 משתמשת בבליטת השריר כשהלסת נסגרת. יש להבחין בין שפת העצם לבין גוף השריר.","ST 5 refers to the mandibular edge and anterior masseter border. ST 6 uses the muscle prominence when the jaw closes. Distinguish the bony edge from the muscle belly.","ST 6","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 6","48","face","318","598","On the face, one fingerbreadth (middle finger) anterosuperior to the angle of the mandible. Note: On the bisector of the angle of the mandible. When the mouth is closed and the teeth are clenched, this point is located at the prominence of the masseter and in the depression felt when the clenched teeth are released.","ST 5 מתוארת סמוך לשפת הלסת ולקצה הקדמי של שריר הלעיסה. ST 6 משתמשת בבליטת השריר כשהלסת נסגרת. יש להבחין בין שפת העצם לבין גוף השריר.","ST 5 refers to the mandibular edge and anterior masseter border. ST 6 uses the muscle prominence when the jaw closes. Distinguish the bony edge from the muscle belly.","ST 5","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 7","49","headSide","522","490","On the face, in the depression between the midpoint of the inferior border of the zygomatic arch and the mandibular notch. Note: When the mouth is closed, ST7 is located at the depression inferior to the zygomatic arch, directly inferior to gB3.","השקע של ST 7 מתואר מתחת לאמצע קשת עצם הלחי ולצד מגרעת הלסת התחתונה. GB 3 נמצאת מעל הקשת. הקשת היא גבול ההשוואה, ולא קו האוזן.","ST 7 is below the zygomatic-arch midpoint by the mandibular notch. GB 3 lies above the arch. The arch, rather than an ear-level line, separates the locations.","GB 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 8","49","scalp","270","225","On the head, 0.5 B-cun directly superior to the anterior hairline at the corner of the forehead, 4.5 B-cun lateral to the anterior median line.","ST 8 משלבת חצי B-cun מעל קו השיער הקדמי בפינת המצח עם היסט של 4.5 B-cun מקו האמצע. שני הכיוונים נדרשים; גובה קו השיער לבדו אינו קובע את הצד.","ST 8 combines half a B-cun above the anterior hairline at the forehead corner with a 4.5 B-cun lateral offset. Hairline height alone does not define the lateral position.","GB 13","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 9","50","face","430","780","In the anterior region of the neck, at the same level as the superior border of the thyroid cartilage, anterior to the sternocleidomastoid muscle, over the common carotid artery. Note 1: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance. Note 2: ST9 is located at the same level as LI18, SI16 and the superior border of the thyroid cartilage. St9 is located anterior to the sternocleidomastoid muscle, and SI16, posterior to the sternocleidomastoid muscle and LI18, between the anterior and posterior borders of the sternocleidomastoid muscle.","בגובה הגבול העליון של סחוס התריס, ST 9 נמצאת לפני שריר מפנה הראש; LI 18 בין גבולות השריר. אזכור עורק התרדמה במקור הוא מידע אנטומי, ולא הנחיה לחיפוש באמצעות לחיצה.","At the superior thyroid-cartilage level, ST 9 is anterior to sternocleidomastoid; LI 18 is between its borders. The carotid reference describes anatomy, not a pressure-based locating exercise.","LI 18","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 10","50","face","430","830","In the anterior region of the neck, at the same level as the cricoid cartilage, just anterior to the border of the sternocleidomastoid muscle.","בגובה סחוס הטבעת, ST 10 קשורה לגבול הקדמי של שריר מפנה הראש. LI 17 משתמשת באותו גובה אך ביחס אחורי לשריר.","At cricoid level, ST 10 is just anterior to the sternocleidomastoid border. LI 17 uses the same level with a posterior muscle relationship.","LI 17","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 11","51","face","451","907","In the anterior region of the neck, in the lesser supraclavicular fossa, superior to the sternal end of the clavicle, in the depression between the sternal and clavicular heads of the sternocleidomastoid muscle. Note 1: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance. Note 2: ST11 is located superior to the clavicle, inferior to St9.","ST 11 משתמשת בשקע הקטן מעל הקצה הסטרנלי של עצם הבריח, בין שני ראשי שריר מפנה הראש. ST 12 משתמשת בשקע העל־בריחי הגדול והצדדי יותר.","ST 11 uses the lesser supraclavicular fossa above the sternal clavicular end, between the two sternocleidomastoid heads. ST 12 uses the larger, more lateral supraclavicular fossa.","ST 12","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 12","51","face","295","907","In the anterior region of the neck, in the greater supraclavicular fossa, 4 B-cun lateral to the anterior median line, in the depression superior to the clavicle.","עצם הבריח מפרידה בין ההגדרות: ST 12 בשקע שמעליה ו־ST 13 מתחתיה, שתיהן עם היסט של 4 B-cun מקו האמצע. קובעים תחילה מעל או מתחת לעצם.","The clavicle separates the definitions: ST 12 is above it and ST 13 below it, both with a 4 B-cun midline offset. First establish which side of the bone is described.","ST 13","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 13","52","torsoFront","372","130","In the anterior thoracic region, inferior to the clavicle, 4 B-cun lateral to the anterior median line.","ST 13 מתוארת מתחת לעצם הבריח, 4 B-cun מקו האמצע. ST 14 משתמשת במרווח הבין־צלעי הראשון. אין להחליף את השקע התת־בריחי במרווח שבין הצלעות.","ST 13 is below the clavicle at a 4 B-cun midline offset. ST 14 uses the first intercostal space. The infraclavicular region and an intercostal space are distinct references.","ST 14","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 14","52","torsoFront","372","180","In the anterior thoracic region, in the first intercostal space, 4 B-cun lateral to the anterior median line.","המרווח הראשון וההיסט של 4 B-cun מגדירים את ST 14. ST 15 שומרת על ההיסט אך עוברת למרווח השני. מספר המרווח מציין את הרווח שמתחת לצלע בעלת אותו מספר.","The first intercostal space and a 4 B-cun offset define ST 14. ST 15 keeps the offset but uses the second space. A space is numbered for the rib above it.","ST 15","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 15","53","torsoFront","372","230","In the anterior thoracic region, in the sec- ond intercostal space, 4 B-cun lateral to the anterior median line. Note: The second intercostal space is in- ferior to the second rib which is located at the same level as the sternal angle.","ST 15 ו־SP 20 משתמשות במרווח הבין־צלעי השני; ההבדל הוא ההיסט מקו האמצע: 4 לעומת 6 B-cun. המרווח מעוקל, ולכן הסכמה אינה סרגל אופקי על הגוף.","ST 15 and SP 20 share the second intercostal space, with offsets of 4 and 6 B-cun respectively. The space curves; a schematic horizontal level is not a body ruler.","SP 20","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 16","53","torsoFront","372","280","In the anterior thoracic region, in the third intercostal space, 4 B-cun lateral to the anterior median line.","המרווח הבין־צלעי השלישי משותף לשתי הרשומות. ST 16 משתמשת בהיסט של 4 B-cun ו־SP 19 בהיסט של 6 B-cun. ההבחנה היא רוחבית בתוך אותו מרווח.","Both records use the third intercostal space. ST 16 has a 4 B-cun offset and SP 19 a 6 B-cun offset. Their distinction is lateral position within the same space.","SP 19","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
